system:time_start,potential_evaporation_1,temperature_2m,total_precipitation_1
"Jan 1, 1981",-3.931,280.503,1.433
"Feb 1, 1981",-4.996,283.117,2.201
"Mar 1, 1981",-5.839,285.747,8.656
"Apr 1, 1981",-7.626,288.41,5.626
"May 1, 1981",-5.869,288.78,9.094
"Jun 1, 1981",-5.448,290.367,25.045
"Jul 1, 1981",-6.524,290.626,16.572
"Aug 1, 1981",-6.581,291.315,20.177
"Sep 1, 1981",-4.681,290.003,24.046
"Oct 1, 1981",-5.642,288.522,3.333
"Nov 1, 1981",-4.086,286.029,7.233
"Dec 1, 1981",-3.631,281.961,2.528
"Jan 1, 1982",-4.116,280.526,1.347
"Feb 1, 1982",-4.878,283.378,3.663
"Mar 1, 1982",-7.102,286.474,3.454
"Apr 1, 1982",-5.282,286.313,7.668
"May 1, 1982",-7.686,289.186,11.039
"Jun 1, 1982",-6.556,290.384,10.607
"Jul 1, 1982",-7.181,291.33,22.801
"Aug 1, 1982",-5.452,290.271,20.807
"Sep 1, 1982",-6.295,289.907,7.077
"Oct 1, 1982",-6.066,287.896,2.352
"Nov 1, 1982",-4.923,286.231,4.732
"Dec 1, 1982",-4.149,282.387,1.265
"Jan 1, 1983",-3.477,281.735,5.168
"Feb 1, 1983",-3.136,282.822,12.679
"Mar 1, 1983",-4.363,284.51,15.198
"Apr 1, 1983",-9.333,288.374,3.467
"May 1, 1983",-5.648,288.87,14.207
"Jun 1, 1983",-8.389,290.699,13.014
"Jul 1, 1983",-9.749,291.829,4.328
"Aug 1, 1983",-6.697,290.813,12.924
"Sep 1, 1983",-6.953,290.31,5.034
"Oct 1, 1983",-5.963,289.403,3.379
"Nov 1, 1983",-5.239,284.108,1.476
"Dec 1, 1983",-4.193,281.113,1.576
"Jan 1, 1984",-4.319,280.992,0.909
"Feb 1, 1984",-4.53,282.625,2.468
"Mar 1, 1984",-5.815,285.01,3.904
"Apr 1, 1984",-5.713,287.289,9.115
"May 1, 1984",-5.769,288.706,12.276
"Jun 1, 1984",-6.915,290.814,8.154
"Jul 1, 1984",-7.9,290.601,8.058
"Aug 1, 1984",-5.459,290.618,15.913
"Sep 1, 1984",-7.374,289.699,4.206
"Oct 1, 1984",-5.279,287.95,10.751
"Nov 1, 1984",-4.991,286.276,1.456
"Dec 1, 1984",-4.295,282.229,1.675
"Jan 1, 1985",-4.42,281.299,1.723
"Feb 1, 1985",-3.729,284.509,10.089
"Mar 1, 1985",-6.28,285.436,3.626
"Apr 1, 1985",-5.384,286.814,8.851
"May 1, 1985",-6.23,289.534,14.839
