system:time_start,potential_evaporation_1,temperature_2m,total_precipitation_1
"Jan 1, 1981",-4.66,279.62,4.099
"Feb 1, 1981",-6.114,281.822,5.065
"Mar 1, 1981",-8.288,284.526,7.152
"Apr 1, 1981",-10.497,287.309,6.995
"May 1, 1981",-7.744,287.911,10.139
"Jun 1, 1981",-7.948,289.762,23.052
"Jul 1, 1981",-11.019,290.087,13.118
"Aug 1, 1981",-10.748,290.981,11.851
"Sep 1, 1981",-6.599,289.337,27.902
"Oct 1, 1981",-7.671,287.589,5.547
"Nov 1, 1981",-5.425,285.049,9.231
"Dec 1, 1981",-4.629,281.104,4.348
"Jan 1, 1982",-4.976,279.464,4.351
"Feb 1, 1982",-6.131,282.184,5.608
"Mar 1, 1982",-9.689,285.259,5.694
"Apr 1, 1982",-6.794,285.158,7.995
"May 1, 1982",-10.688,288.313,8.478
"Jun 1, 1982",-9.541,289.919,9.021
"Jul 1, 1982",-11.382,290.858,25.446
"Aug 1, 1982",-8.527,289.826,17.221
"Sep 1, 1982",-9.066,289.145,6.914
"Oct 1, 1982",-8.325,287.039,4.004
"Nov 1, 1982",-6.761,285.278,9.164
"Dec 1, 1982",-5.034,281.395,3.87
"Jan 1, 1983",-4.593,280.731,5.262
"Feb 1, 1983",-4.227,281.441,17.561
"Mar 1, 1983",-6.257,283.184,16.942
"Apr 1, 1983",-13.163,287.304,4.796
"May 1, 1983",-8.128,288.155,13.934
"Jun 1, 1983",-13.053,290.328,9.256
"Jul 1, 1983",-15.954,291.355,5.005
"Aug 1, 1983",-9.96,290.262,14.545
"Sep 1, 1983",-11.206,289.789,4.317
"Oct 1, 1983",-8.906,288.571,4.753
"Nov 1, 1983",-7.22,283.17,2.901
"Dec 1, 1983",-4.94,280.094,5.163
"Jan 1, 1984",-5.092,279.846,3.526
"Feb 1, 1984",-5.2,281.291,5.375
"Mar 1, 1984",-7.757,283.555,5.941
"Apr 1, 1984",-7.493,286.199,9.257
"May 1, 1984",-7.509,287.804,13.047
"Jun 1, 1984",-11.371,290.367,6.665
"Jul 1, 1984",-13.412,290.392,8.572
"Aug 1, 1984",-8.878,290.05,14.717
"Sep 1, 1984",-11.065,288.998,4.831
"Oct 1, 1984",-6.745,287.014,18.371
"Nov 1, 1984",-6.295,285.336,4.279
"Dec 1, 1984",-5.128,281.458,4.162
"Jan 1, 1985",-5.125,280.192,5.31
"Feb 1, 1985",-4.978,283.126,10.644
"Mar 1, 1985",-7.572,284.186,5.856
"Apr 1, 1985",-7.065,285.595,9.376
"May 1, 1985",-8.216,288.751,16.101
"Jun 1, 1985",-6.307,289.67,18.642
"Jul 1, 1985",-11.859,290.028,10.09
"Aug 1, 1985",-8.265,289.864,13.086
"Sep 1, 1985",-7.789,288.839,12.67
"Oct 1, 1985",-8.46,287.884,4.952
"Nov 1, 1985",-5.443,283.896,5.369
"Dec 1, 1985",-5.401,281.255,4.257
"Jan 1, 1986",-5.047,279.035,3.525
"Feb 1, 1986",-4.212,278.959,8.841
"Mar 1, 1986",-7.19,282.348,7.942
"Apr 1, 1986",-9.878,287.328,4.739
"May 1, 1986",-6.723,288.106,20.752
"Jun 1, 1986",-8.853,289.845,17.076
"Jul 1, 1986",-12.104,290.397,10.743
"Aug 1, 1986",-11.846,290.303,13.561
"Sep 1, 1986",-8.93,289.004,16.349
"Oct 1, 1986",-7.077,286.922,5.777
"Nov 1, 1986",-5.818,285.534,7.68
"Dec 1, 1986",-5.399,282.575,3.554
"Jan 1, 1987",-5.476,280.293,4.355
"Feb 1, 1987",-7.027,281.681,5.156
"Mar 1, 1987",-9.789,284.987,5.13
"Apr 1, 1987",-10.13,286.953,7.292
"May 1, 1987",-9.346,288.484,10.213
"Jun 1, 1987",-7.526,290.258,16.19
"Jul 1, 1987",-10.462,290.898,12.479
"Aug 1, 1987",-11.66,290.669,8.767
"Sep 1, 1987",-7.078,288.764,18.815
"Oct 1, 1987",-7.755,288.02,17.377
"Nov 1, 1987",-5.783,286.33,8.221
"Dec 1, 1987",-4.722,281.497,4.689
"Jan 1, 1988",-5.709,282.515,5.51
"Feb 1, 1988",-5.897,282.413,4.506
"Mar 1, 1988",-8.151,284.907,7.208
"Apr 1, 1988",-6.517,285.457,11.429
"May 1, 1988",-9.476,289.407,8.963
"Jun 1, 1988",-12.26,290.385,9.41
"Jul 1, 1988",-13.619,291.096,6.415
"Aug 1, 1988",-9.057,289.623,18.222
"Sep 1, 1988",-7.053,289.156,13.706
"Oct 1, 1988",-6.348,288.038,12.718
"Nov 1, 1988",-5.407,283.394,6.399
"Dec 1, 1988",-5.539,280.87,2.671
"Jan 1, 1989",-5.098,281.781,4.379
"Feb 1, 1989",-6.857,281.258,3.869
"Mar 1, 1989",-6.625,282.324,9.398
"Apr 1, 1989",-8.353,286.329,8.32
"May 1, 1989",-9.388,288.065,13.038
"Jun 1, 1989",-10.698,289.823,9.084
"Jul 1, 1989",-10.345,290.23,13.45
"Aug 1, 1989",-9.741,290.208,8.931
"Sep 1, 1989",-7.631,289.15,20.718
"Oct 1, 1989",-7.158,287.47,5.536
"Nov 1, 1989",-6.032,284.141,5.664
"Dec 1, 1989",-5.453,280.984,5.276
"Jan 1, 1990",-4.848,280.966,6.425
"Feb 1, 1990",-6.161,283.114,6.444
"Mar 1, 1990",-6.958,283.782,8.315
"Apr 1, 1990",-6.677,286.485,15.238
"May 1, 1990",-9.072,288.7,13.021
"Jun 1, 1990",-9.05,290.326,18.787
"Jul 1, 1990",-12.883,290.571,5.379
"Aug 1, 1990",-10.646,290.821,17.59
"Sep 1, 1990",-7.466,289.347,18.536
"Oct 1, 1990",-7.259,287.04,5.754
"Nov 1, 1990",-7.243,285.28,3.99
"Dec 1, 1990",-5.288,282.122,3.073
"Jan 1, 1991",-5.792,281.314,4.634
"Feb 1, 1991",-5.898,280.947,5.962
"Mar 1, 1991",-9.35,285.606,6.111
"Apr 1, 1991",-10.405,287.156,5.368
"May 1, 1991",-12.215,289.068,7.262
"Jun 1, 1991",-12.87,290.804,10.061
"Jul 1, 1991",-13.227,290.944,11.823
"Aug 1, 1991",-11.122,290.599,7.336
"Sep 1, 1991",-7.318,289.467,12.64
"Oct 1, 1991",-5.748,286.801,8.459
"Nov 1, 1991",-5.487,283.888,4.647
"Dec 1, 1991",-5.105,281.735,6.559
"Jan 1, 1992",-4.958,279.775,5.518
"Feb 1, 1992",-5.222,280.75,10.584
"Mar 1, 1992",-9.693,284.91,5.767
"Apr 1, 1992",-8.733,286.291,12.684
"May 1, 1992",-7.738,287.635,12.395
"Jun 1, 1992",-10.146,289.79,8.182
"Jul 1, 1992",-13.815,290.333,6.337
"Aug 1, 1992",-8.917,290.329,24.334
"Sep 1, 1992",-8.505,289.772,15.824
"Oct 1, 1992",-7.716,286.58,4.252
"Nov 1, 1992",-6.423,283.705,3.493
